"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","","full_training_kuberay_apply","","","skipped","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","599","reject_nonzero_surge","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","564","reject_missing_rollout_strategy","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","full_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","1166","valid_two_rack_production_configuration","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","1872","k8s_node_groups_training_kuberay_apply","","","broken","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
"","496","reject_fractional_rack_count","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","573734","k8s_training_apply","","","passed","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","675","valid_one_rack_production_configuration","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","","test_mode_k8s_training_apply","","","skipped","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","608","reject_missing_infiniband_fabric_for_multiple_racks","","","passed","","","tests/gb300.tftest.hcl","tests/gb300.tftest.hcl",""
"","1856","k8s_node_groups_training_apply","","","broken","","","tests/main.tftest.hcl","tests/main.tftest.hcl",""
"","562823","k8s_training_kuberay_apply","","","passed","","","tests/k8s-training-kuberay.tftest.hcl","tests/k8s-training-kuberay.tftest.hcl",""
