record_type	cohort_id	record	run_id	runner_qualification	cleanup	failed_attempt_denominator	demand_to_http_ready_seconds	demand_to_http_ready_boottime_upper_seconds	demand_to_kubernetes_ready_seconds	semantic_request_1_seconds	semantic_request_2_seconds	demand_to_first_semantic_seconds	demand_to_first_semantic_boottime_upper_seconds	demand_to_two_semantic_seconds	demand_to_two_semantic_boottime_upper_seconds	acceptance_response_proxy_to_http_ready_seconds	acceptance_response_proxy_to_kubernetes_ready_seconds	acceptance_response_proxy_to_first_semantic_seconds	acceptance_response_proxy_to_two_semantic_seconds	target_create_api_round_trip_seconds	cohort_outcome	local_evidence
sample	b2-n20-v3-20260818t1532z	1	b2v3-1532-001	PASS	PASS	0/20	26.971552	27.070530	28.204865	1.417221	0.273866	28.396487	28.495542	28.685096	28.784151	26.048700	27.282013	27.473635	27.762244	0.922852	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-001
sample	b2-n20-v3-20260818t1532z	2	b2v3-1532-002	PASS	PASS	0/20	27.093267	27.190227	28.842681	1.392273	0.272755	28.493636	28.590676	28.915752	29.012792	26.148407	27.897821	27.548776	27.970892	0.944860	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-002
sample	b2-n20-v3-20260818t1532z	3	b2v3-1532-003	PASS	PASS	0/20	27.365016	27.472447	29.222731	1.418740	0.289442	28.793503	28.901010	29.360055	29.467563	26.430670	28.288385	27.859157	28.425709	0.934346	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-003
sample	b2-n20-v3-20260818t1532z	4	b2v3-1532-004	PASS	PASS	0/20	26.788255	26.886983	27.354615	1.380955	0.284148	28.176113	28.274921	28.553541	28.652349	25.889312	26.455672	27.277170	27.654598	0.898943	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-004
sample	b2-n20-v3-20260818t1532z	5	b2v3-1532-005	PASS	PASS	0/20	22.302878	22.412538	23.933712	1.283041	0.279086	23.742199	23.851936	24.254401	24.364138	21.401297	23.032131	22.840618	23.352820	0.901581	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-005
sample	b2-n20-v3-20260818t1532z	6	b2v3-1532-006	PASS	PASS	0/20	27.567302	27.682441	28.372573	1.415789	0.283067	28.989541	29.104757	29.482616	29.597833	26.678810	27.484081	28.101049	28.594124	0.888492	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-006
sample	b2-n20-v3-20260818t1532z	7	b2v3-1532-007	PASS	PASS	0/20	26.479708	26.579665	27.882840	1.391792	0.283317	27.878024	27.978066	28.298931	28.398973	25.577551	26.980683	26.975867	27.396774	0.902157	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-007
sample	b2-n20-v3-20260818t1532z	8	b2v3-1532-008	PASS	PASS	0/20	26.328579	26.426850	27.650809	1.489046	0.273896	27.828216	27.926569	28.125111	28.223464	25.386963	26.709193	26.886600	27.183495	0.941616	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-008
sample	b2-n20-v3-20260818t1532z	9	b2v3-1532-009	PASS	PASS	0/20	26.732983	26.834284	27.328105	1.408572	0.278027	28.156587	28.257968	28.442905	28.544286	25.789590	26.384712	27.213194	27.499512	0.943393	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-009
sample	b2-n20-v3-20260818t1532z	10	b2v3-1532-010	PASS	PASS	0/20	27.154272	27.254070	28.449998	1.437065	0.286301	28.601185	28.701061	29.096481	29.196356	26.181044	27.476770	27.627957	28.123253	0.973228	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-010
sample	b2-n20-v3-20260818t1532z	11	b2v3-1532-011	PASS	PASS	0/20	27.760634	27.864785	28.352858	1.404412	0.278382	29.173579	29.277816	29.731073	29.835310	26.828069	27.420293	28.241014	28.798508	0.932565	SLO_FAIL	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/b2v3-1532-011
