trace_family	policy	sensitivity	n_requests	n_completed	n_rejected	n_failed	p50_s	p95_s	p99_s	goodput_30s	goodput_60s	goodput_120s	hot_hit_rate	l1_hit_rate	evictions	fetched_gib	reserved_gpu_hours	utilization	cost_usd
adversarial	snapshot+shortest-switch-cost+lru	base	1789	1789	0	0	22.715281	127.676381	546.597920	0.6495	0.8642	0.9391	0.1543	0.7356	60	7173.88	47.25	0.3696	282.88
adversarial	snapshot+shortest-switch-cost+lfu	base	1789	1789	0	0	23.541255	128.607797	512.795600	0.6294	0.8524	0.9402	0.1470	0.7255	53	7470.20	47.25	0.3846	288.79
adversarial	snapshot+shortest-switch-cost+size	base	1789	1789	0	0	21.710652	121.668682	442.331026	0.6713	0.8944	0.9480	0.1481	0.7786	20	6834.02	48.17	0.3326	278.78
adversarial	snapshot+shortest-switch-cost+gdsf	base	1789	1789	0	0	21.698956	122.029698	454.045354	0.6696	0.8770	0.9480	0.1576	0.7697	22	6016.05	47.75	0.3395	261.19
adversarial	snapshot+least-loaded+lru	base	1789	1789	0	0	192.379094	951.471120	1442.514356	0.0855	0.2158	0.3605	0.0045	0.0827	1021	32112.95	56.73	0.8683	809.60
adversarial	conventional+shortest-switch-cost+lru	base	1789	1789	0	0	830.615448	3148.684022	4844.845072	0.0257	0.0313	0.1129	0.0553	0.3404	382	15101.47	76.79	0.7496	528.55
adversarial	snapshot+shortest-switch-cost+lru+topk-adaptive-k8	base	1789	1789	0	0	23.088953	126.055837	482.413454	0.6411	0.8575	0.9402	0.1537	0.7412	102	6842.28	47.68	0.3588	277.51
adversarial	snapshot+shortest-switch-cost+lru+bounded-queue	base	1789	1789	0	0	21.855421	121.041016	437.982831	0.6624	0.8670	0.9486	0.1448	0.7764	53	5879.95	48.00	0.3334	259.20
adversarial	snapshot+shortest-switch-cost+lru+pipeline-next	base	1789	1789	0	0	22.883123	121.668682	470.073055	0.6484	0.8686	0.9486	0.1459	0.7893	335	12747.16	47.43	0.3546	394.87
adversarial	snapshot+shortest-switch-cost+lru	low	1789	1789	0	0	28.063776	403.817247	689.187887	0.5182	0.7663	0.8474	0.1397	0.5869	318	10431.06	48.43	0.5378	92.02
