table	model	class_or_axis	key	usd	comparator_usd	flag
warm_vs_switch	OpenFold2	preemptible	breakeven=266929.43	0.010529	2810.5	-
warm_vs_switch	OpenFold2	on_demand	breakeven=149066.51	0.018854	2810.5	-
warm_vs_switch	Boltz2	preemptible	breakeven=155259.09	0.018102	2810.5	-
warm_vs_switch	Boltz2	on_demand	breakeven=86703.69	0.032415	2810.5	-
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=1	0.573128	573.13/574.95	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=1	0.213042	2130.42/2148.65	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=1	0.181034	9051.71/9142.89	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=1	0.177033	17703.33/17885.68	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=1	0.173833	86916.26/87828.03	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=1	0.173432	173432.42/175255.97	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=10	0.426699	426.70/428.52	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=10	0.066613	666.13/684.36	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=10	0.034605	1730.26/1821.44	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=10	0.030604	3060.43/3242.79	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=10	0.027404	13701.77/14613.55	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=10	0.027003	27003.44/28827.00	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=100	0.412056	412.06/413.88	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=100	0.051970	519.70/537.94	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=100	0.019962	998.12/1089.30	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=100	0.015961	1596.14/1778.50	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=100	0.012761	6380.32/7292.10	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=100	0.012361	12360.55/14184.10	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=1000	0.410592	410.59/412.42	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=1000	0.050506	505.06/523.29	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=1000	0.018498	924.90/1016.08	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=1000	0.014497	1449.71/1632.07	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=1000	0.011296	5648.18/6559.95	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=1000	0.010896	10896.26/12719.81	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=1	0.709944	709.94/713.21	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=on_demand,reuse=None,R=1	0.349858	3498.58/3531.24	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=1	0.317850	15892.52/16055.80	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=1	0.313850	31384.95/31711.50	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=1	0.310649	155324.38/156957.10	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=1	0.310249	310248.67/313514.10	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=10	0.447734	447.73/451.00	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=on_demand,reuse=None,R=10	0.087648	876.48/909.14	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=10	0.055640	2782.02/2945.30	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=10	0.051640	5163.95/5490.49	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=10	0.048439	24219.37/25852.09	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=10	0.048039	48038.65/51304.08	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=100	0.421513	421.51/424.78	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=on_demand,reuse=None,R=100	0.061427	614.27/646.93	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=100	0.029419	1470.97/1634.24	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=100	0.025419	2541.85/2868.39	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=100	0.022218	11108.87/12741.59	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=100	0.021818	21817.65/25083.08	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=1000	0.418891	418.89/422.16	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=10000,offer=on_demand,reuse=None,R=1000	0.058805	588.05/620.70	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=50000,offer=on_demand,reuse=None,R=1000	0.026797	1339.87/1503.14	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=100000,offer=on_demand,reuse=None,R=1000	0.022796	2279.64/2606.18	cheaper_than_warm
fully_loaded	OpenFold2	prepared_switch	D=500000,offer=on_demand,reuse=None,R=1000	0.019596	9797.82/11430.54	warm_cheaper
fully_loaded	OpenFold2	prepared_switch	D=1000000,offer=on_demand,reuse=None,R=1000	0.019196	19195.55/22460.98	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000,offer=preemptible,reuse=None,R=None	0.417351	417.35/420.40	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=10000,offer=preemptible,reuse=None,R=None	0.057265	572.65/603.10	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=50000,offer=preemptible,reuse=None,R=None	0.025257	1262.85/1415.10	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=100000,offer=preemptible,reuse=None,R=None	0.021256	2125.60/2430.11	cheaper_than_warm
fully_loaded	Boltz2	prepared_switch	D=500000,offer=preemptible,reuse=None,R=None	0.018055	9027.64/10550.15	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000000,offer=preemptible,reuse=None,R=None	0.017655	17655.18/20700.20	warm_cheaper
fully_loaded	Boltz2	prepared_switch	D=1000,offer=on_demand,reuse=None,R=None	0.430995	430.99/436.45	cheaper_than_warm
