record_type	cohort_id	record	run_id	runner_qualification	cleanup	failed_attempt_denominator	demand_to_http_ready_seconds	demand_to_http_ready_boottime_upper_seconds	demand_to_kubernetes_ready_seconds	semantic_request_1_seconds	semantic_request_2_seconds	demand_to_first_semantic_seconds	demand_to_first_semantic_boottime_upper_seconds	demand_to_two_semantic_seconds	demand_to_two_semantic_boottime_upper_seconds	acceptance_response_proxy_to_http_ready_seconds	acceptance_response_proxy_to_kubernetes_ready_seconds	acceptance_response_proxy_to_first_semantic_seconds	acceptance_response_proxy_to_two_semantic_seconds	target_create_api_round_trip_seconds	cohort_outcome	local_evidence
sample	of2-n20-v3-20260818t1421z	1	of2v3-1421-001	PASS	PASS	0/20	13.639215	13.738521	15.004711	1.971065	0.997468	15.613417	15.712823	16.616633	16.716039	12.762361	14.127857	14.736563	15.739779	0.876854	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-001
sample	of2-n20-v3-20260818t1421z	2	of2v3-1421-002	PASS	PASS	0/20	14.067640	14.166655	14.525042	1.937979	1.030005	16.009234	16.108330	17.043921	17.143015	13.157070	13.614472	15.098664	16.133351	0.910570	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-002
sample	of2-n20-v3-20260818t1421z	3	of2v3-1421-003	PASS	PASS	0/20	14.167082	14.263971	14.298441	1.899277	0.981909	16.069549	16.166529	17.056299	17.153278	13.217506	13.348865	15.119973	16.106723	0.949576	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-003
sample	of2-n20-v3-20260818t1421z	4	of2v3-1421-004	PASS	PASS	0/20	14.572160	14.671991	15.387387	1.908272	0.985595	16.483992	16.583911	17.474674	17.574593	13.693265	14.508492	15.605097	16.595779	0.878895	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-004
sample	of2-n20-v3-20260818t1421z	5	of2v3-1421-005	PASS	PASS	0/20	14.065381	14.164236	14.828374	1.951769	1.015083	16.020873	16.119807	17.041132	17.140065	13.145976	13.908969	15.101468	16.121727	0.919405	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-005
sample	of2-n20-v3-20260818t1421z	6	of2v3-1421-006	PASS	PASS	0/20	14.518682	14.617009	16.124244	1.959546	1.020171	16.481937	16.580359	17.507092	17.605514	13.588781	15.194343	15.552036	16.577191	0.929901	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-006
sample	of2-n20-v3-20260818t1421z	7	of2v3-1421-007	PASS	PASS	0/20	14.405531	14.503035	15.764567	1.922588	1.001742	16.331683	16.429266	17.339405	17.436988	13.508570	14.867606	15.434722	16.442444	0.896961	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-007
sample	of2-n20-v3-20260818t1421z	8	of2v3-1421-008	PASS	PASS	0/20	14.485722	14.583746	15.584803	1.975756	1.026042	16.464390	16.562510	17.495532	17.593651	13.609939	14.709020	15.588607	16.619749	0.875783	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-008
sample	of2-n20-v3-20260818t1421z	9	of2v3-1421-009	PASS	PASS	0/20	14.151534	14.250907	14.188509	1.951400	1.025552	16.106754	16.206230	17.137125	17.236602	13.279885	13.316860	15.235105	16.265476	0.871649	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-009
sample	of2-n20-v3-20260818t1421z	10	of2v3-1421-010	PASS	PASS	0/20	13.807193	13.905382	14.712341	1.920521	1.003874	15.731184	15.829453	16.739617	16.837887	12.871115	13.776263	14.795106	15.803539	0.936078	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-010
sample	of2-n20-v3-20260818t1421z	11	of2v3-1421-011	PASS	PASS	0/20	14.043408	14.140902	14.779531	1.942370	1.001923	15.989251	16.086829	16.996494	17.094072	13.141197	13.877320	15.087040	16.094283	0.902211	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-011
sample	of2-n20-v3-20260818t1421z	12	of2v3-1421-012	PASS	PASS	0/20	14.386107	14.487310	15.786693	1.926041	1.004205	16.316610	16.417889	17.326818	17.428097	13.522318	14.922904	15.452821	16.463029	0.863789	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-012
sample	of2-n20-v3-20260818t1421z	13	of2v3-1421-013	PASS	PASS	0/20	14.495448	14.595073	15.676565	1.955513	1.032614	16.454983	16.554686	17.492435	17.592138	13.633450	14.814567	15.592985	16.630437	0.861998	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-013
sample	of2-n20-v3-20260818t1421z	14	of2v3-1421-014	PASS	PASS	0/20	14.531741	14.628816	15.494811	1.953853	1.035316	16.489561	16.586717	17.532731	17.629887	13.669906	14.632976	15.627726	16.670896	0.861835	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-014
sample	of2-n20-v3-20260818t1421z	15	of2v3-1421-015	PASS	PASS	0/20	14.242080	14.342258	16.109487	1.927325	1.024655	16.172968	16.273235	17.202273	17.302540	13.371676	15.239083	15.302564	16.331869	0.870404	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-015
sample	of2-n20-v3-20260818t1421z	16	of2v3-1421-016	PASS	PASS	0/20	13.988633	14.085971	14.716834	1.936696	1.011978	15.929343	16.026763	16.946348	17.043768	13.122077	13.850278	15.062787	16.079792	0.866556	PASS	/home/tux/.local/state/archvteams-2407/of2-boltz-n20-20260818T121158Z/runs/of2v3-1421-016
