run,submitted_unix_ns,semantic_unix_ns,semantic_seconds,response
1,1786993248012902329,1786993259419839147,11.407,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
2,1786993260244862623,1786993268419040164,8.174,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
3,1786993269281198018,1786993277489760774,8.209,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
4,1786993278381732939,1786993286476538459,8.095,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
5,1786993287319670166,1786993295490580827,8.171,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
6,1786993296331585457,1786993304566818831,8.235,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
7,1786993305436526062,1786993313564894646,8.128,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
8,1786993314450902778,1786993322546099112,8.095,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
9,1786993323371769362,1786993331581257016,8.209,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
10,1786993332420888026,1786993340557129860,8.136,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
