run,submitted_unix_ns,semantic_unix_ns,semantic_seconds,response
1,1786995515238678640,1786995524729709500,9.491,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
2,1786995526692395324,1786995535977495109,9.285,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
3,1786995537942134855,1786995547069902916,9.128,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
4,1786995548967444996,1786995557999778767,9.032,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
5,1786995559849096826,1786995569037727216,9.189,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
6,1786995570903336451,1786995580071674247,9.168,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
7,1786995582013285066,1786995591092448587,9.079,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
8,1786995593112000680,1786995602140904232,9.029,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
9,1786995604051144522,1786995613119404754,9.068,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
10,1786995615143016323,1786995624247420015,9.104,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
