run,submitted_unix_ns,semantic_unix_ns,semantic_seconds,response
1,1786995636346469440,1786995643380760814,7.034,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
2,1786995644240114929,1786995651380658752,7.141,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
3,1786995652213982604,1786995659462809575,7.249,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
4,1786995660304640470,1786995667499720446,7.195,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
5,1786995668354309562,1786995675448028282,7.094,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
6,1786995676265258076,1786995683471582150,7.206,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
7,1786995684317784916,1786995691543494315,7.226,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
8,1786995692387943453,1786995699482017893,7.094,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
9,1786995700330081260,1786995707585450194,7.255,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
10,1786995708409782766,1786995715503012883,7.093,eyJwbmdfYnl0ZXMiOjQ1MDczNSwic2hhMjU2IjoiNzFkZjU4NDVlMWQwMTNlOTQ3Njg1YWQ0MjM4MjBlMDhlNmZlN2E4MTJlNTk4ZWJmYmRkOWIyMWNjYWM3YWNlNCIsInNpemUiOls1MTIsNTEyXSwibm9uY29uc3RhbnQiOnRydWV9
